p1,p2,p1_wins_cards,p1_wins_tricks,p2_wins_cards,p2_wins_tricks,draws_cards,draws_tricks
"(False, False, False)","(False, False, True)",,,,,,
"(False, False, False)","(False, True, False)",,,,,,
"(False, False, False)","(False, True, True)",,,,,,
"(False, False, False)","(True, False, False)",,,,,,
"(False, False, False)","(True, False, True)",,,,,,
"(False, False, False)","(True, True, False)",,,,,,
"(False, False, False)","(True, True, True)",,,,,,
"(False, False, True)","(False, False, False)",,,,,,
"(False, False, True)","(False, True, False)",,,,,,
"(False, False, True)","(False, True, True)",,,,,,
"(False, False, True)","(True, False, False)",,,,,,
"(False, False, True)","(True, False, True)",,,,,,
"(False, False, True)","(True, True, False)",,,,,,
"(False, False, True)","(True, True, True)",,,,,,
"(False, True, False)","(False, False, False)",,,,,,
"(False, True, False)","(False, False, True)",,,,,,
"(False, True, False)","(False, True, True)",,,,,,
"(False, True, False)","(True, False, False)",,,,,,
"(False, True, False)","(True, False, True)",,,,,,
"(False, True, False)","(True, True, False)",,,,,,
"(False, True, False)","(True, True, True)",,,,,,
"(False, True, True)","(False, False, False)",,,,,,
"(False, True, True)","(False, False, True)",,,,,,
"(False, True, True)","(False, True, False)",,,,,,
"(False, True, True)","(True, False, False)",,,,,,
"(False, True, True)","(True, False, True)",,,,,,
"(False, True, True)","(True, True, False)",,,,,,
"(False, True, True)","(True, True, True)",,,,,,
"(True, False, False)","(False, False, False)",,,,,,
"(True, False, False)","(False, False, True)",,,,,,
"(True, False, False)","(False, True, False)",,,,,,
"(True, False, False)","(False, True, True)",,,,,,
"(True, False, False)","(True, False, True)",,,,,,
"(True, False, False)","(True, True, False)",,,,,,
"(True, False, False)","(True, True, True)",,,,,,
"(True, False, True)","(False, False, False)",,,,,,
"(True, False, True)","(False, False, True)",,,,,,
"(True, False, True)","(False, True, False)",,,,,,
"(True, False, True)","(False, True, True)",,,,,,
"(True, False, True)","(True, False, False)",,,,,,
"(True, False, True)","(True, True, False)",,,,,,
"(True, False, True)","(True, True, True)",,,,,,
"(True, True, False)","(False, False, False)",,,,,,
"(True, True, False)","(False, False, True)",,,,,,
"(True, True, False)","(False, True, False)",,,,,,
"(True, True, False)","(False, True, True)",,,,,,
"(True, True, False)","(True, False, False)",,,,,,
"(True, True, False)","(True, False, True)",,,,,,
"(True, True, False)","(True, True, True)",,,,,,
"(True, True, True)","(False, False, False)",,,,,,
"(True, True, True)","(False, False, True)",,,,,,
"(True, True, True)","(False, True, False)",,,,,,
"(True, True, True)","(False, True, True)",,,,,,
"(True, True, True)","(True, False, False)",,,,,,
"(True, True, True)","(True, False, True)",,,,,,
"(True, True, True)","(True, True, False)",,,,,,
