p1,p2,p1_wins_cards,p1_wins_tricks,p2_wins_cards,p2_wins_tricks,draws_cards,draws_tricks
000,001,2361997,2022411,2538231,2205128,99772,772461
000,010,1386635,1057837,3532598,3324832,80767,617331
000,011,880842,563434,4018785,3847365,100373,589201
000,100,47,5578,4999925,4974454,28,19968
000,101,1261475,839082,3632151,3470874,106374,690044
000,110,46970,41243,4939950,4836451,13080,122306
000,111,2429744,1626749,2427010,1626706,143246,1746545
001,000,2538231,2205128,2361997,2022411,99772,772461
001,010,4315173,4005325,619162,581225,65665,413450
001,011,4778297,4414129,179464,258582,42239,327289
001,100,9515,131456,4988046,4676401,2439,192143
001,101,4588143,3961506,342425,567131,69432,471363
001,110,2390479,2047736,2387558,2045371,221963,906893
001,111,4940004,4837053,47183,41513,12813,121434
010,000,3532598,3324832,1386635,1057837,80767,617331
010,001,619162,581225,4315173,4005325,65665,413450
010,011,2427720,2157044,2428807,2158282,143473,684674
010,100,2101050,2118061,2790192,2209699,108758,672240
010,101,2438856,2031093,2441296,2031686,119848,937221
010,110,342793,567198,4588046,3960881,69161,471921
010,111,3632196,3471035,1261489,839316,106315,689649
011,000,4018785,3847365,880842,563434,100373,589201
011,001,179464,258582,4778297,4414129,42239,327289
011,010,2428807,2158282,2427720,2157044,143473,684674
011,100,2426555,2156883,2430183,2158534,143262,684583
011,101,2790958,2210952,2100012,2117549,109030,671499
011,110,4988131,4677750,9422,130588,2447,191662
011,111,4999912,4974374,65,5580,23,20046
100,000,4999925,4974454,47,5578,28,19968
100,001,4988046,4676401,9515,131456,2439,192143
100,010,2790192,2209699,2101050,2118061,108758,672240
100,011,2430183,2158534,2426555,2156883,143262,684583
100,101,2428213,2158803,2428252,2158183,143535,683014
100,110,179776,258648,4778890,4414265,41334,327087
100,111,4020373,3846981,879780,563136,99847,589883
101,000,3632151,3470874,1261475,839082,106374,690044
101,001,342425,567131,4588143,3961506,69432,471363
101,010,2441296,2031686,2438856,2031093,119848,937221
101,011,2100012,2117549,2790958,2210952,109030,671499
101,100,2428252,2158183,2428213,2158803,143535,683014
101,110,618881,580213,4315559,4005558,65560,414229
101,111,3532212,3324352,1386311,1057955,81477,617693
110,000,4939950,4836451,46970,41243,13080,122306
110,001,2387558,2045371,2390479,2047736,221963,906893
110,010,4588046,3960881,342793,567198,69161,471921
110,011,9422,130588,4988131,4677750,2447,191662
110,100,4778890,4414265,179776,258648,41334,327087
110,101,4315559,4005558,618881,580213,65560,414229
110,111,2541193,2204842,2359655,2021856,99152,773302
111,000,2427010,1626706,2429744,1626749,143246,1746545
111,001,47183,41513,4940004,4837053,12813,121434
111,010,1261489,839316,3632196,3471035,106315,689649
111,011,65,5580,4999912,4974374,23,20046
111,100,879780,563136,4020373,3846981,99847,589883
111,101,1386311,1057955,3532212,3324352,81477,617693
111,110,2359655,2021856,2541193,2204842,99152,773302
