p1,p2,p1_wins_cards,p1_wins_tricks,p2_wins_cards,p2_wins_tricks,draws_cards,draws_tricks
"(False, False, False)","(False, False, True)",8.0,5.0,6.0,4.0,1.0,6.0
"(False, False, False)","(False, True, False)",8.0,6.0,7.0,8.0,0.0,1.0
"(False, False, False)","(False, True, True)",1.0,0.0,14.0,14.0,0.0,1.0
"(False, False, False)","(True, False, False)",0.0,0.0,15.0,15.0,0.0,0.0
"(False, False, False)","(True, False, True)",6.0,6.0,8.0,7.0,1.0,2.0
"(False, False, False)","(True, True, False)",0.0,0.0,15.0,15.0,0.0,0.0
"(False, False, False)","(True, True, True)",12.0,7.0,2.0,3.0,1.0,5.0
"(False, False, True)","(False, False, False)",6.0,4.0,8.0,5.0,1.0,6.0
"(False, False, True)","(False, True, False)",13.0,12.0,2.0,2.0,0.0,1.0
"(False, False, True)","(False, True, True)",15.0,13.0,0.0,1.0,0.0,1.0
"(False, False, True)","(True, False, False)",0.0,0.0,15.0,15.0,0.0,0.0
"(False, False, True)","(True, False, True)",14.0,12.0,1.0,2.0,0.0,1.0
"(False, False, True)","(True, True, False)",5.0,3.0,8.0,10.0,2.0,2.0
"(False, False, True)","(True, True, True)",15.0,15.0,0.0,0.0,0.0,0.0
"(False, True, False)","(False, False, False)",7.0,8.0,8.0,6.0,0.0,1.0
"(False, True, False)","(False, False, True)",2.0,2.0,13.0,12.0,0.0,1.0
"(False, True, False)","(False, True, True)",5.0,4.0,10.0,11.0,0.0,0.0
"(False, True, False)","(True, False, False)",4.0,4.0,11.0,10.0,0.0,1.0
"(False, True, False)","(True, False, True)",7.0,5.0,8.0,9.0,0.0,1.0
"(False, True, False)","(True, True, False)",1.0,1.0,14.0,13.0,0.0,1.0
"(False, True, False)","(True, True, True)",10.0,9.0,5.0,4.0,0.0,2.0
"(False, True, True)","(False, False, False)",14.0,14.0,1.0,0.0,0.0,1.0
"(False, True, True)","(False, False, True)",0.0,1.0,15.0,13.0,0.0,1.0
"(False, True, True)","(False, True, False)",10.0,11.0,5.0,4.0,0.0,0.0
"(False, True, True)","(True, False, False)",11.0,9.0,3.0,3.0,1.0,3.0
"(False, True, True)","(True, False, True)",11.0,8.0,4.0,5.0,0.0,2.0
"(False, True, True)","(True, True, False)",15.0,13.0,0.0,1.0,0.0,1.0
"(False, True, True)","(True, True, True)",15.0,15.0,0.0,0.0,0.0,0.0
"(True, False, False)","(False, False, False)",15.0,15.0,0.0,0.0,0.0,0.0
"(True, False, False)","(False, False, True)",15.0,15.0,0.0,0.0,0.0,0.0
"(True, False, False)","(False, True, False)",11.0,10.0,4.0,4.0,0.0,1.0
"(True, False, False)","(False, True, True)",3.0,3.0,11.0,9.0,1.0,3.0
"(True, False, False)","(True, False, True)",8.0,9.0,7.0,5.0,0.0,1.0
"(True, False, False)","(True, True, False)",0.0,0.0,15.0,15.0,0.0,0.0
"(True, False, False)","(True, True, True)",14.0,13.0,1.0,0.0,0.0,2.0
"(True, False, True)","(False, False, False)",8.0,7.0,6.0,6.0,1.0,2.0
"(True, False, True)","(False, False, True)",1.0,2.0,14.0,12.0,0.0,1.0
"(True, False, True)","(False, True, False)",8.0,9.0,7.0,5.0,0.0,1.0
"(True, False, True)","(False, True, True)",4.0,5.0,11.0,8.0,0.0,2.0
"(True, False, True)","(True, False, False)",7.0,5.0,8.0,9.0,0.0,1.0
"(True, False, True)","(True, True, False)",3.0,2.0,12.0,13.0,0.0,0.0
"(True, False, True)","(True, True, True)",9.0,9.0,6.0,5.0,0.0,1.0
"(True, True, False)","(False, False, False)",15.0,15.0,0.0,0.0,0.0,0.0
"(True, True, False)","(False, False, True)",8.0,10.0,5.0,3.0,2.0,2.0
"(True, True, False)","(False, True, False)",14.0,13.0,1.0,1.0,0.0,1.0
"(True, True, False)","(False, True, True)",0.0,1.0,15.0,13.0,0.0,1.0
"(True, True, False)","(True, False, False)",15.0,15.0,0.0,0.0,0.0,0.0
"(True, True, False)","(True, False, True)",12.0,13.0,3.0,2.0,0.0,0.0
"(True, True, False)","(True, True, True)",7.0,10.0,7.0,3.0,1.0,2.0
"(True, True, True)","(False, False, False)",2.0,3.0,12.0,7.0,1.0,5.0
"(True, True, True)","(False, False, True)",0.0,0.0,15.0,15.0,0.0,0.0
"(True, True, True)","(False, True, False)",5.0,4.0,10.0,9.0,0.0,2.0
"(True, True, True)","(False, True, True)",0.0,0.0,15.0,15.0,0.0,0.0
"(True, True, True)","(True, False, False)",1.0,0.0,14.0,13.0,0.0,2.0
"(True, True, True)","(True, False, True)",6.0,5.0,9.0,9.0,0.0,1.0
"(True, True, True)","(True, True, False)",7.0,3.0,7.0,10.0,1.0,2.0
